DATA,PRECIPITACAO TOTAL,PRECIPITACAO MEDIA,PRESSAO ATMOSFERICA MEDIA,RADIACAO GLOBAL MEDIA,TEMPERATURA MINIMA,TEMPERATURA MAXIMA,TEMPERATURA MEDIA,PONTO DE ORVALHO MEDIA,UMIDADE RELATIVA DO AR MINIMA,UMIDADE RELATIVA DO AR MEDIA,VELOCIDADE DO VENTO MEDIA,QUANTIDADE FOCOS,OCORREU FOGO
2019-07-23,0.0,0.0,880.3083333333334,766.6875,13.5,23.0,18.162499999999998,7.154545454545456,16.0,42.0,3.8874999999999997,2.0,True
2019-07-24,0.0,0.0,880.1666666666665,451.49166666666673,12.6,23.1,17.879166666666666,6.763636363636365,10.0,38.5,2.2875,1.0,True
2019-07-25,0.0,0.0,880.1916666666666,873.8916666666665,12.6,23.6,18.4125,4.753846153846155,12.0,31.4,2.6083333333333334,0.0,False
2019-07-26,0.0,0.0,880.7458333333334,750.6875000000001,13.7,22.6,18.245833333333326,4.45,16.0,37.357142857142854,3.058333333333333,4.0,True
2019-07-27,0.0,0.0,881.4,747.3874999999998,10.5,21.1,17.15833333333334,2.05,12.0,28.166666666666668,3.779166666666667,0.0,False
2019-07-28,0.0,0.0,880.2458333333334,734.25,14.0,24.0,18.858333333333334,5.315384615384615,10.0,35.214285714285715,3.0750000000000006,0.0,False
2019-07-29,0.0,0.0,879.7875,785.5749999999999,11.9,25.5,18.970833333333335,5.300000000000001,16.0,35.333333333333336,1.2333333333333334,0.0,False
2019-07-30,0.0,0.0,879.7416666666668,815.1666666666666,15.3,25.4,20.5125,9.169230769230769,35.0,42.15384615384615,1.820833333333333,0.0,False
2019-07-31,0.0,0.0,878.9458333333333,882.6499999999997,16.1,25.9,20.616666666666664,8.32857142857143,31.0,39.5,2.0666666666666664,0.0,False
2019-08-01,0.0,0.0,877.9458333333333,881.8458333333333,14.6,27.0,20.533333333333335,7.108333333333333,27.0,33.5,1.2916666666666667,0.0,False
2019-08-02,0.0,0.0,878.7916666666666,840.2583333333333,15.2,27.4,20.62083333333333,7.861538461538462,21.0,36.61538461538461,1.258333333333333,0.0,False
2019-08-03,0.0,0.0,879.1208333333334,737.3499999999999,16.1,28.5,21.45833333333334,5.683333333333333,22.0,28.833333333333332,1.8291666666666666,0.0,False
2019-08-04,0.0,0.0,879.5999999999999,893.8875000000003,16.3,27.7,21.100000000000005,6.845454545454545,19.0,31.636363636363637,1.7333333333333336,0.0,False
2019-08-05,0.0,0.0,881.5999999999999,722.1708333333332,16.7,23.7,19.916666666666668,8.345454545454546,15.0,43.45454545454545,4.3999999999999995,0.0,False
2019-08-06,0.2,0.008333333333333333,883.0166666666665,551.9041666666667,14.6,20.9,17.89166666666667,10.523076923076925,14.0,55.57142857142857,5.045833333333334,7.0,True
2019-08-07,0.0,0.0,882.9541666666665,923.6500000000001,13.9,23.3,17.916666666666668,4.2333333333333325,23.0,33.111111111111114,4.670833333333333,0.0,False
2019-08-08,0.0,0.0,882.6782608695652,856.4043478260871,13.9,24.8,18.243478260869566,5.15,19.0,34.4,2.834782608695652,0.0,False
2019-08-09,0.0,0.0,881.625,805.9666666666666,11.7,23.9,18.258333333333333,8.799999999999999,30.0,43.0,2.195833333333333,0.0,False
2019-08-10,0.0,0.0,881.6291666666667,811.1458333333334,13.6,25.7,19.437500000000004,8.872727272727273,15.0,41.72727272727273,1.8458333333333334,1.0,True
2019-08-11,0.0,0.0,881.0249999999997,847.2666666666665,12.9,25.4,19.775000000000002,7.524999999999998,15.0,38.0,2.1125,7.0,True
2019-08-12,0.0,0.0,880.0875000000001,951.3499999999999,13.2,26.3,20.037499999999998,6.9416666666666655,15.0,34.666666666666664,1.8583333333333332,0.0,False
2019-08-13,0.0,0.0,879.6750000000001,952.1166666666664,12.2,26.8,20.037499999999998,4.0,14.0,26.666666666666668,1.3291666666666666,0.0,False
2019-08-14,0.0,0.0,879.7958333333332,966.8458333333333,12.6,25.6,19.775,3.6166666666666667,11.0,26.153846153846153,2.3875,0.0,False
2019-08-15,0.0,0.0,881.2291666666666,816.4874999999998,15.3,24.4,19.358333333333334,5.758333333333332,14.0,37.666666666666664,3.7375000000000003,15.0,True
2019-08-16,0.0,0.0,881.4083333333332,848.404166666667,13.7,23.0,18.050000000000008,7.07,13.0,39.0,4.3625,5.0,True
2019-08-17,0.0,0.0,880.1458333333334,868.625,13.3,22.9,18.04583333333333,8.266666666666666,12.0,39.5,2.6374999999999997,0.0,False
2019-08-18,0.0,0.0,879.5208333333334,706.4541666666665,14.2,25.5,19.750000000000004,6.015384615384615,13.0,34.92307692307692,1.45,0.0,False
2019-08-19,0.0,0.0,879.0291666666668,842.3041666666667,18.4,28.4,22.412500000000005,3.9153846153846152,10.0,25.785714285714285,2.0916666666666663,0.0,False
2019-08-20,0.0,0.0,879.4000000000001,905.2958333333332,16.6,28.7,22.02916666666668,3.066666666666667,16.0,22.666666666666668,1.5999999999999999,0.0,False
2019-08-21,0.0,0.0,879.8458333333333,920.7916666666666,16.6,28.9,22.183333333333334,5.009090909090909,15.0,25.09090909090909,1.925,4.0,True
2019-08-22,0.0,0.0,879.6750000000002,886.7041666666668,17.8,28.9,22.650000000000002,6.8,22.0,29.666666666666668,1.8874999999999995,0.0,False
2019-08-23,0.0,0.0,879.9541666666668,758.1041666666666,17.7,27.2,22.033333333333335,10.15,12.0,36.18181818181818,1.866666666666667,3.0,True
2019-08-24,0.0,0.0,879.6,647.8000000000001,16.7,26.7,21.616666666666664,7.590909090909091,13.0,34.63636363636363,0.7833333333333333,0.0,False
2019-08-25,0.0,0.0,880.3208333333332,908.6916666666667,16.5,27.4,21.099999999999998,7.363636363636363,10.0,31.666666666666668,2.095833333333333,1.0,True
2019-08-26,0.0,0.0,880.375,982.8791666666667,16.3,25.1,20.916666666666668,6.116666666666666,15.0,34.916666666666664,4.241666666666667,3.0,True
2019-08-27,0.0,0.0,880.8416666666667,944.1874999999999,14.9,25.5,20.008333333333336,7.389999999999999,21.0,36.2,3.208333333333334,1.0,True
2019-08-28,0.0,0.0,879.8000000000002,997.5583333333334,15.5,26.1,20.333333333333332,7.218181818181819,11.0,32.416666666666664,2.195833333333333,0.0,False
